Group number,Answer,Vote count,Group percentage [%],Total percentage [%],Group
Group 5,Screenshots to PPT,3,25,8.4,"Artificial Intelligence, Digital Transformation Data Science, Automation, Machine Learning Analytics (https://www.linkedin.com/groups/4376214/)"
Group 5,Use Jupyter Slideshow,5,42,6.6,"Artificial Intelligence, Digital Transformation Data Science, Automation, Machine Learning Analytics (https://www.linkedin.com/groups/4376214/)"
Group 5,Show the notebook,3,25,3.6,"Artificial Intelligence, Digital Transformation Data Science, Automation, Machine Learning Analytics (https://www.linkedin.com/groups/4376214/)"
Group 5,Other,1,8,1.6,"Artificial Intelligence, Digital Transformation Data Science, Automation, Machine Learning Analytics (https://www.linkedin.com/groups/4376214/)"
Group 4,Screenshots to PPT,19,36,8.4,"AI & ML  - Analytics , Data Science  .  SAP BI/ Analytics Cloud /Tableau /Power BI /Birst (https://www.linkedin.com/groups/1859449/)"
Group 4,Use Jupyter Slideshow,22,42,6.6,"AI & ML  - Analytics , Data Science  .  SAP BI/ Analytics Cloud /Tableau /Power BI /Birst (https://www.linkedin.com/groups/1859449/)"
Group 4,Show the notebook,10,19,3.6,"AI & ML  - Analytics , Data Science  .  SAP BI/ Analytics Cloud /Tableau /Power BI /Birst (https://www.linkedin.com/groups/1859449/)"
Group 4,Other,2,4,1.6,"AI & ML  - Analytics , Data Science  .  SAP BI/ Analytics Cloud /Tableau /Power BI /Birst (https://www.linkedin.com/groups/1859449/)"
Group 3,Screenshots to PPT,173,37,8.4,Python Developers Community (moderated) (https://www.linkedin.com/groups/25827/)
Group 3,Use Jupyter Slideshow,170,36,6.6,Python Developers Community (moderated) (https://www.linkedin.com/groups/25827/)
Group 3,Show the notebook,81,17,3.6,Python Developers Community (moderated) (https://www.linkedin.com/groups/25827/)
Group 3,Other,42,9,1.6,Python Developers Community (moderated) (https://www.linkedin.com/groups/25827/)
Group 2,Screenshots to PPT,42,45,8.4,"Data Scientist, Data Analyst and Data Engineer (https://www.linkedin.com/groups/6773411/)"
Group 2,Use Jupyter Slideshow,26,28,6.6,"Data Scientist, Data Analyst and Data Engineer (https://www.linkedin.com/groups/6773411/)"
Group 2,Show the notebook,18,19,3.6,"Data Scientist, Data Analyst and Data Engineer (https://www.linkedin.com/groups/6773411/)"
Group 2,Other,8,9,1.6,"Data Scientist, Data Analyst and Data Engineer (https://www.linkedin.com/groups/6773411/)"
Group 1,Screenshots to PPT,294,45,8.4,Data Science community (moderated) (https://www.linkedin.com/groups/3063585/)
Group 1,Use Jupyter Slideshow,197,30,6.6,Data Science community (moderated) (https://www.linkedin.com/groups/3063585/)
Group 1,Show the notebook,113,17,3.6,Data Science community (moderated) (https://www.linkedin.com/groups/3063585/)
Group 1,Other,48,7,1.6,Data Science community (moderated) (https://www.linkedin.com/groups/3063585/)
